,ticker,name,sectors,industry
230,BHAGYANGR,Bhagyanagar India Limited,Basic Materials,Copper
231,BHAGYAPROP,Bhagyanagar Properties Limited,Real Estate,Real Estate Services
232,BHANDARI,Bhandari Hosiery Exports Limited,Consumer Cyclical,Apparel Manufacturing
233,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts
234,BHARATGEAR,Bharat Gears Limited,Consumer Cyclical,Auto Parts
235,BHARATRAS,Bharat Rasayan Limited,Basic Materials,Agricultural Inputs
236,BHARATWIRE,Bharat Wire Ropes Limited,Basic Materials,Steel
237,BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services
238,BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery
239,BIGBLOC,Bigbloc Construction Limited,Industrials,Building Products & Equipment
240,BIL,Bhartiya International Ltd.,Consumer Cyclical,Footwear & Accessories
241,BINDALAGRO,Oswal Greentech Limited,Financial Services,Asset Management
242,BIOCON,Biocon Limited,Healthcare,Biotechnology
243,BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,Healthcare,Drug Manufacturers—Specialty & Generic
244,BIRLACABLE,Birla Cable Limited,Technology,Communication Equipment
245,BIRLACORPN,Birla Corporation Limited,Basic Materials,Building Materials
246,BIRLAMONEY,Aditya Birla Money Limited,Financial Services,Capital Markets
247,BKMINDST,BKM Industries Limited,Consumer Cyclical,Packaging & Containers
248,BLBLIMITED,BLB Limited,Financial Services,Capital Markets
249,BLISSGVS,Bliss GVS Pharma Limited,Healthcare,Drug Manufacturers—Specialty & Generic
250,BLKASHYAP,B.L. Kashyap and Sons Limited,Industrials,Engineering & Construction
251,BLS,BLS International Services Limited,Industrials,Specialty Business Services
252,BLUEDART,Blue Dart Express Limited,Industrials,Integrated Freight & Logistics
253,BLUESTARCO,Blue Star Limited,Industrials,Specialty Industrial Machinery
254,BODALCHEM,Bodal Chemicals Limited,Basic Materials,Specialty Chemicals
255,BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited,Consumer Cyclical,Textile Manufacturing
256,BOROLTD,Borosil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
257,BORORENEW,Borosil Renewables Limited,Consumer Cyclical,Packaging & Containers
258,BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts
259,BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
260,BPL,BPL Limited,Technology,Consumer Electronics
261,BRIGADE,Brigade Enterprises Limited,Real Estate,Real Estate—Development
262,BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods
263,BRNL,Bharat Road Network Limited,Industrials,Infrastructure Operations
264,BROOKS,Brooks Laboratories Limited,Healthcare,Drug Manufacturers—Specialty & Generic
265,BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges
